ID,Aircraft
6395,Hawker Fury
6397,Hawker Fury/Sea Fury
6407,Hawker Hunter
6409,Hawker Hurricane/Sea Hurricane
6417,Hawker Siddeley Gnat/Ajeet
6421,Hawker Siddeley HS-1182 Hawk
6423,Hawker Siddeley HS-121 Trident
6425,Hawker Siddeley HS-125 (Dominie)
6427,Hawker Siddeley HS-748 (Andover)
6429,Hawker Siddeley HS-780 Andover
6419,Hawker Siddeley Harrier
6435,Hawker Tempest
6437,Hawker Tomtit
6459,Heinkel He-111
6461,Heinkel He-162 Volksjager
6477,Helibras AS-350 Esquilo
6479,Helibras AS-355 Esquilo 2
6483,Helio H-250/295/391/392/395/700/800 Courier (L-24/U-10)
6485,Helio HST-550/600 Stallion (AU-24)
6541,Hillson Praga
6551,Hindustan HAL-748
6559,Hindustan HJT-36 Sitara
6569,Hindustan HUL-26 Pushpak
6575,Hindustan SA-315 Cheetah
6577,Hindustan SA-316/SE-3160 Chetak
6591,Hirth Hi-27 Akrostar
6597,Hispano HA-1112 Buchon
6599,Hispano HA-132 Chirri
6621,Hoffmann H-36/HK-36 Dimona
6623,Hoffmann H-40
6633,Honda HA-420 HondaJet
6635,Hongdu JL-8/K-8/L-11 Karakorum
6637,Hongdu L-15 Falcon
6647,Horten H-9 (Ho-229)
6687,Hughes 200/269/280/300 (H-55 Osage)
6689,Hughes 369/500/530 (H-6/Cayuse/Little Bird)
6695,Hughes H-4 Hercules (HK-1)
6697,Hughes H-64 Apache
6715,Hunting H-126
6717,Hunting P-84 Jet Provost
6719,Hunting Percival P-66 Pembroke
6721,Hunting Percival P-84 Jet Provost
6747,IAR IAR-330 Puma
6765,IAR IAR-93 Vultur
6767,IAR IAR-99 Soim
6799,ICP Bingo
6801,ICP MXP-740/741 Savannah
6879,IMAM Ro-37 Lince
6885,IMCO Callair A-9
6797,Icon A5
6851,Ilyushin Il-102
6853,Ilyushin Il-103
6855,Ilyushin Il-114
6857,Ilyushin Il-12
6859,Ilyushin Il-14
6861,Ilyushin Il-18/20/22/24/38
6863,Ilyushin Il-2
6869,Ilyushin Il-62
6873,Ilyushin Il-76/78/82
6875,Ilyushin Il-86/87
6877,Ilyushin Il-96
6901,Indaer Chile PA-28 Archer/Dakota
6903,Indaer Chile T-35 Pillan
6999,Israel Aircraft Industries Heron
7005,Israel Aircraft Industries IAI-101/102/201/202 Arava
7007,Israel Aircraft Industries IAI-1121 Commodore Jet
7009,Israel Aircraft Industries IAI-1123 Westwind
7011,Israel Aircraft Industries IAI-1124 Westwind
7013,Israel Aircraft Industries IAI-1125 Astra (C-38)
7015,Israel Aircraft Industries IAI-1126 Galaxy
7017,Israel Aircraft Industries Kfir (F-21)
7019,Israel Aircraft Industries Lavi
7031,Issoire APM-30 Lion
7033,Issoire APM-40 Simba
7135,Janowski J-5 Marco
7137,Janowski J-6 Fregata
7195,Jihlavan Skyleader GP One
7227,Jodel D-120 Paris-Nice
7247,Jodel D-9/91/92/921/93/94/95/96/97/98/99
7313,Junkers Ju-52
7317,Junkers Ju-87 Stuka
7319,Junkers Ju-88
7357,Kaman K-1200 K-Max
7373,Kamov Ka-15
7375,Kamov Ka-18
7377,Kamov Ka-226
7379,Kamov Ka-25
7381,Kamov Ka-26
7383,Kamov Ka-27
7385,Kamov Ka-28
7387,Kamov Ka-29
7389,Kamov Ka-31
7391,Kamov Ka-32
7393,Kamov Ka-50/52
7395,Kamov Ka-60/62/64
7453,Kawasaki C-1
7461,Kawasaki Ki-100
7475,Kawasaki T-4
7481,Kazan Ansat
7675,Korea Aerospace T-50/TA-50/FA-50 Golden Eagle
7733,Kubicek Balloons E Type
7735,Kubicek Balloons GP Type
7737,Kubicek Balloons N Type
7739,Kubicek Balloons Special Shapes
7741,Kubicek Balloons XR Type
7743,Kubicek Balloons Z Type
8145,LMAASA IA-63 Pampa
8277,LTV A-7 Corsair II
7807,Lancair Evolution
7815,Lancair LC-40/41/42 Columbia
7809,Lancair Lancair 235/320/360
7811,Lancair Lancair ES
7813,Lancair Lancair IV
7817,Lancair Legacy 2000
7819,Lancair Sentry
7825,Lange E-1 Antares
7881,Lear Jet 23/24
7883,Lear Jet 25
7885,Learjet 31
7887,Learjet 35/36 (C-21)
7889,Learjet 40
7891,Learjet 45
7893,Learjet 55
7895,Learjet 60
7897,Learjet 70/75
7939,Let Aero Ae-45/145
7943,Let L-13 Blanik
7947,Let L-200 Morava
7949,Let L-23 Super Blanik
7957,Let L-410/420 Turbolet
7967,Let-Mont TUL-02 Tandem Tulak
8011,Leza AirCam
8027,Liberty XL-2
8089,Lindstrand Balloons LBL-A
8091,Lindstrand Balloons LBL-B
8093,Lindstrand Balloons LBL-C
8097,Lindstrand Balloons LBL-SS
8099,Lindstrand Balloons LBL-X
8151,Lockheed 10 Electra (C-35/36/37/R2O)
8153,Lockheed 12/212 Electra Junior (C-40/JO)
8155,Lockheed 14/214/414 Super Electra/Hudson
8157,Lockheed 18 Lodestar (C-56/C-60/R5O)
8159,Lockheed 2/5/DL Vega
8165,Lockheed 89 Constitution (R6O/R6V)
8169,Lockheed A-12/YF-12/M-21/SR-71 Blackbird
8171,Lockheed C-130 Hercules (L-082/182/282/382/100)
8173,Lockheed C-141 Starlifter
8175,Lockheed C-5 Galaxy
8177,Lockheed Constellation/Starliner (C-69/C-121)
8179,Lockheed D-21
8181,Lockheed F-104 Starfighter
8183,Lockheed F-117 Nighthawk
8185,Lockheed F-16 Fighting Falcon
8187,Lockheed F-22 Raptor (L-645)
8195,Lockheed L-1011 TriStar
8197,Lockheed L-1329 JetStar (C-140)
8199,Lockheed L-188 Electra
8207,Lockheed Martin C-130 Hercules (L-382/100)
8209,Lockheed Martin F-16 Fighting Falcon
8211,Lockheed Martin F-22 Raptor
8213,Lockheed Martin F-35 Lightning II
8215,Lockheed Martin P-791
8223,Lockheed P-2 Neptune
8225,Lockheed P-3 Orion
8227,Lockheed P-38/F-5 Lightning
8229,Lockheed P-80/TV-1 Shooting Star (F-80/TO-1)
8231,Lockheed PV-1/B-34 Ventura (L-37/137/237)
8233,Lockheed PV-2 Harpoon (15)
8237,Lockheed T-33
8243,Lockheed XFV-1 Salmon
8245,Lockheed YO-3
8249,Lockwood AirCam
8597,MBB-Kawasaki BK-117
8673,MD Helicopters 369/MD-500/520/530
8675,MD Helicopters MD-600N
8677,MD Helicopters MD-900 Explorer
9205,MX Aircraft MX2
9207,MX Aircraft MXS
8411,Mainair Blade
8413,Mainair Gemini
8417,Mainair Mercury
8419,Mainair Pegasus Quantum 15
8421,Mainair Pegasus Quik
8425,Mainair Rapier
8427,Mainair Scorcher
8431,Mainair Tri-Flyer
8469,Marganski and Myslowski EM-11 Orka
8471,Marganski and Myslowski MDM-1 Fox
8491,Martin 202/303/404 (C-3)
8495,Martin B-26 Marauder (179)
8499,Martin JRM Mars (170)
8539,Matejcek M-35
8555,Maule M-4
8557,Maule M-5
8559,Maule M-6
8561,Maule M-7/MT-7/MX-7/MXT-7
8571,Max Holste MH-1521 Broussard
8611,McDonnell 119/220
8613,McDonnell Douglas A-4 Skyhawk
8615,McDonnell Douglas C-15
8617,McDonnell Douglas C-17 Globemaster III
8619,McDonnell Douglas DC-10 (C-10 Extender)
8621,McDonnell Douglas DC-8 (Jet Trader/C-24)
8623,McDonnell Douglas DC-9 (C-9 Nightingale/Skytrain II)
8625,McDonnell Douglas F-15 Eagle
8627,McDonnell Douglas F-4 Phantom II
8629,McDonnell Douglas F/A-18 Hornet
8631,McDonnell Douglas H-64 Apache
8633,McDonnell Douglas MD-11
8635,McDonnell Douglas MD-500/520/530 (369/H-6 Little Bird)
8637,McDonnell Douglas MD-600N
8639,McDonnell Douglas MD-80 (DC-9-80)
8641,McDonnell Douglas MD-90
8643,McDonnell Douglas MD-900 Explorer
8645,McDonnell Douglas T-45 Goshawk
8647,McDonnell Douglas V-8 Harrier
8653,McDonnell F-101 Voodoo
8655,McDonnell F-2 Banshee (F2H)
8657,McDonnell F-3 Demon (F3H)
8659,McDonnell F-4 Phantom II
8661,McDonnell F-85 Goblin
8721,Messerschmitt Bf-108 Taifun
8723,Messerschmitt Bf-109
8725,Messerschmitt Bf-110
8727,Messerschmitt Me-163 Komet
