ID,Aircraft
21,AASI Jetcruzer
621,AESL Airtourer
625,AESL CT-4 Airtrainer
691,AICSA PA-28 Cherokee/Archer/Dakota/Warrior
699,AIDC F-CK-1
709,AII AVA-202
787,AIR Epic LT/Dynasty
789,AIR Epic Victory
1179,AMS-Flight DG-505
1183,AMX International AMX/A-1
1419,ATEC 212 Solo
1421,ATEC 321 Faeta
1423,ATEC Zephyr
1443,ATR ATR-42
1445,ATR ATR-72
97,Aeritalia G-222 (C-27 Spartan)
103,Aermacchi F-260
113,Aermacchi MB-326
115,Aermacchi MB-339
121,Aero 45
123,Aero 500/520/560/680/720 Commander (L-26/U-4/U-9)
129,Aero A-18
161,Aero Boero AB-95/115/150/180
175,Aero Commander 100 Commander 100/Darter/Lark
177,Aero Commander 1121 Jet Commander
181,Aero Commander 500/560/680 Commander
183,Aero Commander 680/681/690 Turbo Commander
185,Aero Commander A-9 Ag Commander
187,Aero Commander S-2 Ag Commander
201,Aero L-29 Delfin
203,Aero L-39/59/139/159 Albatros
205,Aero L-60 Brigadyr
209,Aero S-102/103 (MiG-15)
213,Aero S-106 (MiG-21)
615,AeroVolga LA-8
231,Aeroalcool AA-155 Quasar Lite
259,Aerochia LT-1
353,Aeronca 11 Chief
369,Aeronca 7 Champion (L-16)
407,Aeroprakt A-22 Foxbat
413,Aeroprakt A-27
419,Aeroprakt A-33
473,Aerospatiale AS-332/532 Super Puma/Cougar
475,Aerospatiale AS-350/550 Ecureuil/AStar/Fennec
477,Aerospatiale AS-355/555 Ecureuil 2/TwinStar/Fennec
483,Aerospatiale N-262
485,Aerospatiale SA-315/318 Alouette II Astazou/Lama
487,Aerospatiale SA-316/319 Alouette III
489,Aerospatiale SA-321 Super Frelon
491,Aerospatiale SA-330 Puma
493,Aerospatiale SA-341/342 Gazelle
495,Aerospatiale SA-360/361/365C Dauphin
497,Aerospatiale SA-365F/M/N/AS-365/565 Dauphin 2 (HH-65 Dolphin)
499,Aerospatiale SE-210 Caravelle
501,Aerospatiale SN-601 Corvette
503,Aerospatiale-BAC Concorde
505,Aerospatiale-British Aerospace Concorde
509,Aerospool WT-9 Dynamic
541,Aerostar M-20 Aerostar
587,Aerotechnik L-13S Vivat/Super Vivat
601,Aerotek Pitts S-1 Special
603,Aerotek Pitts S-2 Special
647,Agusta A-109
649,Agusta A-119 Koala
651,Agusta A-129 Mangusta
657,Agusta AB-212
663,Agusta AS-61
665,AgustaWestland AW-101/EH-101
667,AgustaWestland AW-109
669,AgustaWestland AW-119 Koala
671,AgustaWestland AW-129 Mangusta
673,AgustaWestland AW-139
675,AgustaWestland AW-149/189
677,AgustaWestland AW-159 Wildcat
679,AgustaWestland AW-169
681,AgustaWestland AW-189
797,Air Products F-1 Aircoupe
799,Air Tractor AT-300/301/302
801,Air Tractor AT-400/401/402
807,Air Tractor AT-500/501/502/503/504
809,Air Tractor AT-602
811,Air Tractor AT-802
841,Airbus A300
843,Airbus A300-600ST Super Transporter
845,Airbus A310
847,Airbus A318
849,Airbus A319
851,Airbus A320
853,Airbus A321
855,Airbus A330-...
857,Airbus A330-200
859,Airbus A330-300
861,Airbus A340-...
863,Airbus A340-200
865,Airbus A340-300
867,Airbus A340-500
869,Airbus A340-600
871,Airbus A350
875,Airbus A380
877,Airbus A400M Grizzly/Atlas
943,Airspeed AS-10/40/41/42/43/46/65 Oxford/Consul
981,Akrotech Europe CAP-232
999,Albatros D-V
1021,Alenia Aermacchi M-346 Master
1023,Alenia G-222 (C-27 Spartan)
1027,Alenia Sky-Y
1065,Alon A-2 Aircoupe
1079,Alpi Pioneer 200
1081,Alpi Pioneer 300
1083,Alpi Pioneer 400
1085,Alpi Syton AH-130
1119,American AA-1 Yankee/Trainer/Tr2
1121,American AA-5 Traveler
1141,American Champion 7 Citabria
1143,American Champion 8 Decathlon/Scout
1151,American General AG-5 Tiger
1237,Antonov An-10 Ukraina
1239,Antonov An-12
1241,Antonov An-124 Ruslan
1243,Antonov An-14
1245,Antonov An-140
1247,Antonov An-148/158
1249,Antonov An-178
1253,Antonov An-2/3
1255,Antonov An-22 Antei
1257,Antonov An-225 Mriya
1259,Antonov An-24
1261,Antonov An-26
1263,Antonov An-28
1265,Antonov An-30
1267,Antonov An-32
1269,Antonov An-38
1271,Antonov An-70
1277,Antonov An-72/74
1279,Antonov An-8
1357,Armstrong Whitworth AW-55 Apollo
1359,Armstrong Whitworth AW-650/660 Argosy
1437,Atlas MB-326 Impala
1473,Auster 6A Tugmaster
1483,Auster B-5 Auster AOP9
1485,Auster B-8 Agricola
1487,Auster D-4/5/6
1491,Auster J Auster Mk5 Alpha
1493,Auster J-1 Autocrat/Alpha/Aiglet/Workmaster
1495,Auster J-2/3/4 Arrow/Atom/Archer
1497,Auster J-5/8 Adventurer/Aiglet Trainer/Alpine/Autocar
1499,Auster K/Q Auster AOP6/T7/T10
1543,AutoGyro Cavalon
1549,AutoGyro MT-03/MTOsport/Calidus
1563,Avantage A-27
1593,Avia B-534
1597,Avia BH-10
1635,Aviamilano F-250/260
1659,Aviat A-1 Husky
1663,Aviat Pitts S-1 Special
1665,Aviat Pitts S-2 Special
1693,Aviation Traders ATL-98 Carvair
1705,Avicopter AC-313
1737,Avro 504
1777,Avro 652 Anson
1781,Avro 683/691 Lancaster/Lancastrian
1789,Avro 694/695 Lincoln/Lincolnian
1791,Avro 696/716 Shackleton
1793,Avro 698 Vulcan
1801,Avro 748
1803,Avro Canada C-102 Jetliner
1821,Ayres S2R Thrush
1827,B & F Technik FK-14 Polaris
1829,B & F Technik FK-9
1847,BAC 111 One-Eleven
1849,BAC 167 Strikemaster
1853,BAC 84 Jet Provost
1857,BAC TSR-2
1865,BAE Systems Avro 146-RJ/RJX
1867,BAE Systems Hawk
1869,BAE Systems Mantis
2809,BRM Citius
2813,BRM Land Africa
2815,BRM Okavango
1967,Beagle A-61/Auster 6A Tugmaster/Terrier
1969,Beagle B-121 Pup
1973,Beagle D-4/5/6
1975,Beagle E-3 Auster AOP11
1997,Beech 100 King Air (U-21)
1999,Beech 17 (C-43/GB/JB)
2001,Beech 18 (C-45/AT-11/JRB/SNB)
2003,Beech 19 Musketeer/Sport
2005,Beech 1900 (C-12)
2007,Beech 200/1300 Super King Air (C-12)
2009,Beech 2000 Starship 1
2011,Beech 23 Musketeer/Custom/Sundowner
2013,Beech 24 Musketeer/Super/Sierra
2017,Beech 300/350 Super King Air
2019,Beech 33 Debonair/Bonanza
2021,Beech 35 Bonanza
2023,Beech 36 Bonanza
2025,Beech 400 Beechjet (T-1)
2027,Beech 45 Mentor/Turbo Mentor (T-34)
2029,Beech 50 Twin Bonanza (L-23/U-8)
2031,Beech 55 Baron (T-42)
2033,Beech 56 Turbo Baron
2035,Beech 58 Baron
2037,Beech 60 Duke
2039,Beech 65/70/80/88 Queen Air (L-23/U-8)
2041,Beech 73 Jet Mentor
2043,Beech 76 Duchess
2045,Beech 77 Skipper
2047,Beech 90 King Air (C-6/T-44/U-21)
2049,Beech 95 Travel Air
2051,Beech 99 Airliner
2053,Beechcraft 200/250 King Air
2055,Beechcraft 350 King Air
2057,Beechcraft 36 Bonanza
2059,Beechcraft 58 Baron
2061,Beechcraft 90 King Air
2065,Beechcraft T-6 Texan II
2085,Bell 204/205/210 (H-1/40 Iroquois)
2087,Bell 206/406 JetRanger (H-4/H-57/H-58/H-67)
2091,Bell 209/309/449 (AH-1 Cobra/Sea Cobra/Super Cobra/King Cobra/Viper)
2093,Bell 212/450 (H-1 Iroquois/Venom)
2107,Bell 407
2109,Bell 412
2111,Bell 427
2113,Bell 429
2117,Bell 47
2125,Bell P-39/400 Airacobra
2133,Bell X-1
2147,Bell XV-15 (301)
2149,Bell-Agusta BA-609
2151,Bell-Boeing V-22 Osprey (901)
2165,Bellanca 7 Champ/Citabria
2167,Bellanca 8 Decathlon/Scout
2197,Beriev A-50/Be-976
2205,Beriev Be-12/14 Chaika
2207,Beriev Be-200
2209,Beriev Be-30/32
2221,Bernard 190/191
2345,Boeing 367
2347,Boeing 377 Stratocruiser
2365,Boeing 707-...
2367,Boeing 707-100 (C-137)
2369,Boeing 707-200
2371,Boeing 707-300 (C-18/C-137/E-3/E-6/E-8)
2373,Boeing 707-400
2375,Boeing 717
2377,Boeing 720
2379,Boeing 727-...
2381,Boeing 727-100 (C-22)
2383,Boeing 727-200 (C-22)
